POSTCODE,PC_NAME,PC_TYPE,PA_NAME,PA_FIPS,CITY_TOWN,COUNTY,AREA_SQMI,zipcodenum,PWSID,PWSName,Size,FacilityID,FacilityName,FacilityWaterType,SamplePointID,SamplePointName,SamplePointType,AssociatedFacilityID,AssociatedSamplePointID,CollectionDate,SampleID,ADONA,MRL,Units,MethodID,AnalyticalResultsSign,AnalyticalResultValue,SampleEventCode,MonitoringRequirement,Region,State,UCMR1SampleType,ZIPCODE
"1072",SHUTESBURY,NON UNIQUE,SHUTESBURY,"61870","SHUTESBURY, TOWN OF",FRANKLIN,25.10603367,"1072",,,,,,,,,,,,,,,,,,,,,,,,,
"1776",SUDBURY,NON UNIQUE,SUDBURY,"68225","SUDBURY, TOWN OF",MIDDLESEX,24.72143642,"1776",MA2174000,"MAYNARD DPW, WATER DIVISION",L,"10001",Old Marlboro Road WTP,GW,EP01,Entry Point to Dist. System,EP,,,2023/12/04 00:00:00,M3K0554-01,PFOS,0.004,µg/L,EPA 533,=,0.0042,SE1,AM,"1",MA,,"1776"
"1035",HADLEY,NON UNIQUE,HADLEY,"27655","HADLEY, TOWN OF",HAMPSHIRE,24.54395228,"1035",,,,,,,,,,,,,,,,,,,,,,,,,
"1921",BOXFORD,NON UNIQUE,BOXFORD,"07385","BOXFORD, TOWN OF",ESSEX,24.40552734,"1921",,,,,,,,,,,,,,,,,,,,,,,,,
"1104",SPRINGFIELD,NON UNIQUE,SPRINGFIELD,"67000",SPRINGFIELD,HAMPDEN,5.82433271,"1104",,,,,,,,,,,,,,,,,,,,,,,,,
"2664",SOUTH YARMOUTH,NON UNIQUE,SOUTH YARMOUTH,"66035","YARMOUTH, TOWN OF",BARNSTABLE,7.27037416,"2664",,,,,,,,,,,,,,,,,,,,,,,,,
"2538",EAST WAREHAM,NON UNIQUE,EAST WAREHAM,"20765","WAREHAM, TOWN OF",PLYMOUTH,7.15540936,"2538",,,,,,,,,,,,,,,,,,,,,,,,,
"2655",OSTERVILLE,NON UNIQUE,OSTERVILLE,"51510",BARNSTABLE,BARNSTABLE,6.6879147,"2655",,,,,,,,,,,,,,,,,,,,,,,,,
"2644",FORESTDALE,NON UNIQUE,FORESTDALE,"24190","SANDWICH, TOWN OF",BARNSTABLE,6.76138228,"2644",,,,,,,,,,,,,,,,,,,,,,,,,
"2420",LEXINGTON,NON UNIQUE,LEXINGTON,"35250","LEXINGTON, TOWN OF",MIDDLESEX,6.72985299,"2420",,,,,,,,,,,,,,,,,,,,,,,,,
"2180",STONEHAM,NON UNIQUE,STONEHAM,"67700","STONEHAM, TOWN OF",MIDDLESEX,6.52967935,"2180",,,,,,,,,,,,,,,,,,,,,,,,,
"1890",WINCHESTER,NON UNIQUE,WINCHESTER,"80545","WINCHESTER, TOWN OF",MIDDLESEX,6.33133579,"1890",,,,,,,,,,,,,,,,,,,,,,,,,
"2451",WALTHAM,NON UNIQUE,WALTHAM,"72600",WALTHAM,MIDDLESEX,6.03202378,"2451",,,,,,,,,,,,,,,,,,,,,,,,,
"1605",WORCESTER,NON UNIQUE,WORCESTER,"82000",WORCESTER,WORCESTER,6.02581551,"1605",,,,,,,,,,,,,,,,,,,,,,,,,
"1537",NORTH OXFORD,NON UNIQUE,NORTH OXFORD,"48675","OXFORD, TOWN OF",WORCESTER,5.93527472,"1537",,,,,,,,,,,,,,,,,,,,,,,,,
"1606",WORCESTER,NON UNIQUE,WORCESTER,"82000",WORCESTER,WORCESTER,5.91677304,"1606",,,,,,,,,,,,,,,,,,,,,,,,,
"1602",WORCESTER,NON UNIQUE,WORCESTER,"82000",WORCESTER,WORCESTER,5.79556491,"1602",,,,,,,,,,,,,,,,,,,,,,,,,
"2638",DENNIS,NON UNIQUE,DENNIS,"16740","DENNIS, TOWN OF",BARNSTABLE,5.75782751,"2638",,,,,,,,,,,,,,,,,,,,,,,,,
"2151",REVERE,NON UNIQUE,REVERE,"56585",REVERE,SUFFOLK,6.20007829,"2151",,,,,,,,,,,,,,,,,,,,,,,,,
"1013",CHICOPEE,NON UNIQUE,CHICOPEE,"13660",CHICOPEE,HAMPDEN,6.17874852,"1013",,,,,,,,,,,,,,,,,,,,,,,,,
"1604",WORCESTER,NON UNIQUE,WORCESTER,"82000",WORCESTER,WORCESTER,6.95478238,"1604",,,,,,,,,,,,,,,,,,,,,,,,,
"2382",WHITMAN,NON UNIQUE,WHITMAN,"79565","WHITMAN, TOWN OF",PLYMOUTH,6.87364688,"2382",,,,,,,,,,,,,,,,,,,,,,,,,
"1349",MILLERS FALLS,NON UNIQUE,MILLERS FALLS,"41410","MONTAGUE, TOWN OF",FRANKLIN,6.79667982,"1349",,,,,,,,,,,,,,,,,,,,,,,,,
"1880",WAKEFIELD,NON UNIQUE,WAKEFIELD,"72250","WAKEFIELD, TOWN OF",MIDDLESEX,7.93378999,"1880",,,,,,,,,,,,,,,,,,,,,,,,,
"2190",SOUTH WEYMOUTH,NON UNIQUE,SOUTH WEYMOUTH,"65720","WEYMOUTH, TOWN OF",NORFOLK,7.77138409,"2190",,,,,,,,,,,,,,,,,,,,,,,,,
"1852",LOWELL,NON UNIQUE,LOWELL,"37000",LOWELL,MIDDLESEX,4.98826343,"1852",,,,,,,,,,,,,,,,,,,,,,,,,
"1032",GOSHEN,NON UNIQUE,GOSHEN,"26255","GOSHEN, TOWN OF",HAMPSHIRE,4.87502661,"1032",,,,,,,,,,,,,,,,,,,,,,,,,
